ref,𝔊,*,𝔐,kind,lvl,subspecies,effect,effect lvl,cause,parallel,notes
25:1.1,ἐν τῷ ὄρει,בָהָר,בְּהַ֥ר,expansion,word,specification,determination,phrase,consonants,ø,"G reads ""the Mountain of Sinai"" whereas MT lacks the article."
25:1.2,Σινα,סינה,סִינַ֖י,exchange,letter,ø,pronunciation,word,vorlage,ø,"G reads a different vowel here, perhaps also a consonant ה "
25:2.1,εἰς τὴν γῆν,בארץ,אֶל־הָאָ֔רֶץ,exchange,word,lexeme,narrowing,word,translation,εἰσέρχομαι,G reads εἰς suggestive of ב in place of אל; a brief query shows that אל seems to be more often glossed with προς. εἰς is sometimes used as well (or the dative). בוא is more frequently used with אל in MT (Jupyter; ~14% in late and early texts). Could the Greek lexeme εἰσέρχομαι have influenced the selection of verb? More data is needed to query this.
25:2.2,ἣν ἐγὼ δίδωμι ὑμῖν,אשר אני נתן לכם,ø,expansion,clause,specification,adjunct,sentence,intertextuality,Lev 25:2a; Lev 26:27–35,"G borrows the relative clause from the verse's part A; syntactic: the new clause functions in attributive relation to the second word ארץ; the new clause is embedded within another clause, i.e. bracketed, though by nature of its being a relative clause. The specification is now repeated in the apodosis, with the result being that the land is specified as coming from the Lord both before and after entry. Does the refocus here have a more exhortational role rather than simply reflective? Lev 26 implies that the land can be taken away and given to others (look for additional evidence). See Lev 26:34, where the land also rests (only other place, cf. SHEBANQ query), but because the inhabitants have been removed. Here the land makes up for the rest that it had lost while the inhabitants lived on it."
25:3.1.1,τὴν ἄμπελόν σου,הגפנך,כַּרְמֶ֑ךָ,expansion,word,specification,determination,phrase,translation,,G reads the definite article.
25:3.1.2,τὴν ἄμπελόν σου,הגפנך,כַּרְמֶ֑ךָ,exchange,word,lexeme,actant,text,syntax,,"G reads ἄμπελος “vine” rather than the expected ἄμπελων “vineyard.” The latter always translates כרם in the Pentateuch (excluding this chapter). The change resolves the difficulty of the 3fs suffix on תבואתה “its [her] produce” both in Hebrew and Greek. גפן can be either m. or f. (HALOT 200). ἂμπελος is f. (Muraoka 33). The resolution works in either Hebrew or Greek, and is thus not necessarily original to G. The effect, though, is that the referent of “its produce” becomes “grapevine,” a text-level alteration which affects the apparent actant of “produce.” The solution is reached is by literalizing a synechdoche. The MT attests to כרם “vineyard.” The grapevine is a part of a vineyard. The change is affected through the analogy."
25:3.2.1,τὸν καρπὸν αὐτῆς,את־התבואתה,אֶת־תְּבוּאָתָֽהּ,expansion,word,specification,determination,phrase,translation,,G reads the definite article.
25:3.2.2,τὸν καρπὸν αὐτῆς,את־התבואתה,אֶת־תְּבוּאָתָֽהּ,exchange,word,lexeme,narrowing,word,cohesion,,"G reads καρπὸν rather than the expected γενήματα (as pointed out by Wevers 402). This is likely due to the transformation כרם to גפן. In the HB, fruitfuless is associated with the latter in Isa 32:12 and Ps 128:3, but seemingly not with the former (https://shebanq.ancient-data.org/hebrew/query?version=2017&id=2602). "
25:4.1,τὸν ἀγρόν σου,השדך,שָֽׂדְךָ֙,expansion,word,specification,determination,phrase,translation,,G reads the definite article.
25:4.2.1,καὶ τὴν ἄμπελόν σου,והגפנך,וְכַרְמְךָ֖,expansion,word,specification,determination,phrase,translation,,G reads the definite article.
25:4.2.2,καὶ τὴν ἄμπελόν σου,והגפנך,וְכַרְמְךָ֖,exchange,word,lexeme,literalism,word,synecdoche,,see same in 25:3.
25:5.1,καὶ,ו,ø,expansion,word,specification,coordination,text,cohesion,Lev 25:4b,"G reads the ו conjunction, creating a connection with the previous two injunctions in vs. 4b. The continuation mirrors that of vs. 3 where there are two clauses with predicates of תזרע and תזמר (as in vs. 4b) followed by a third clause. This variant represents a concern for cohesion inasmuch as the addition of the waw conjunction is influenced by the preceding clauses in the text. "
25:5.2.1,τὰ αὐτόματα τὰ ἀναβαίνοντα,את הספיחים העלים,אֵ֣ת סְפִ֤יחַ,expansion,word,specification,determination,phrase,translation,,G reads the definite article.
25:5.2.2,τὰ αὐτόματα τὰ ἀναβαίνοντα,את הספיחים העלים,אֵ֣ת סְפִ֤יחַ,expansion,word,lexeme,apposition,phrase,translation,,"G reads M’s one word ספיח as a four word description: τὰ αὐτόματα τὰ ἀναβαίνοντα. That the word ספיח can be translated into Greek without the need for the additional word is clear from 2 Kgs 19:29. The two definite articles look suspiciously like a Hebraic attributive phase (note that the second article is only reflected in Fb2 but is included in the Göttingen text due to the likely haplography with the end of αὐτόματα and τὰ). α͗ναβαίνω regularly translates the verb עלה. (e.g. Gen 31:10), but it is not found anywhere else alongside αὐτόματα.

Excursus: The Hebraizing tendency of the construction at hand is illustrated by a comparison with the MT (Jupyter). In 58% of cases (87 of 150) where this construction is found in the Pentateuch, it reflects a Hebrew original. The construction is also found to be more common in Semiticizing NT books (Matthew vs. Luke; also John, Revelation, cf. saved NT_attributive.txt as counted in Accordance). "
25:5.2.3,τὰ αὐτόματα τὰ ἀναβαίνοντα,את הספיחים העלים,אֵ֣ת סְפִ֤יחַ,exchange,word,morphology,number,phrase,cohesion,Lev 25:11; Lev 25:5a2,"G reads the noun as plural. This may be due to the influence of the plural occurrence of the term in vs. 11. In addition, the change may be caused by cohesion due to the plural ענבי “grapes” in the following clause. Though, in G the plural ענבי is translated with the singular σταφυλή. But the singular noun is regularly used to translate the plural ענבים in Hebrew. If the Vorlage indeed contained the plural, then it would be available to influence the choice of number."
25:5.3.1,τοῦ ἀγροῦ σου,השדך,קְצִֽירְךָ֙,expansion,word,specification,determination,phrase,translation,,G reads the definite article.
